Part_id,First_Name,Last_Name,Email_add,DOB,Student,College,CPI
1,Bernarr,Stegell,bstegell0@hp.com,23-07-1993,Student,Ecole Supérieure de Commerce de Toulouse,6.76
2,Wakefield,Halesworth,whalesworth1@qq.com,25-05-2004,Student,Universidad Autónoma Latinoamericana,4.31
3,Jerrie,Widdowson,jwiddowson2@pagesperso-orange.fr,23-04-1995,Employee,Osaka University of Arts,9.85
4,Silvia,Calvey,scalvey3@pbs.org,30-12-2002,Employee,Georg-Simon-Ohm-Fachhochschule Nürnberg,9.39
5,Monroe,Beneze,mbeneze4@imgur.com,09-02-1992,Student,Alaska Pacific University,6.35
6,Idette,Harback,iharback5@seattletimes.com,15-10-2000,Employee,Shanghai Institue of Foreign Trade,7.78
7,Sabine,Butterley,sbutterley6@earthlink.net,24-12-1998,Employee,University of Northern British Columbia,9.15
8,Roderich,Clissold,rclissold7@eepurl.com,23-11-1987,Student,Universitas Ngurah Rai,6.9
9,Pearl,Hornung,phornung8@umich.edu,04-01-1987,Employee,Dankook University,6.51
10,Joe,Edinboro,jedinboro9@cnbc.com,26-03-1994,Student,Beijing Petroleum University,4.87
11,Dorene,Disbury,ddisburya@geocities.com,05-09-1999,Employee,Latvian Academy of Music,7.54
12,Stanford,Hampe,shampeb@tripod.com,26-01-1988,Student,Knox College,4.59
13,Coriss,Antonopoulos,cantonopoulosc@cbslocal.com,06-08-2003,Employee,Rowan University,5.08
14,Guilbert,Basson,gbassond@kickstarter.com,12-07-1999,Student,ifs University College,9.57
15,Emilio,Eves,eevese@dagondesign.com,28-10-1988,Student,University of International Business,8.01
16,Juditha,Watman,jwatmanf@earthlink.net,13-04-1995,Employee,University of Otago,9.82
17,Jozef,Matis,jmatisg@bbb.org,04-02-1986,Student,Fairfield University,7.99
18,Kally,Radnedge,kradnedgeh@engadget.com,12-06-1991,Employee,Chongqing Wenli University,7.46
19,Berni,Woodier,bwoodieri@163.com,03-06-1988,Employee,Sudan Academy of Sciences,5.27
20,Christye,Hairyes,chairyesj@elegantthemes.com,28-09-1998,Employee,Dillard University,8.23
21,Charmain,Brewis,cbrewisk@360.cn,03-02-1990,Employee,American University in Cairo,4.56
22,Sabra,Symms,ssymmsl@360.cn,08-06-1998,Employee,Lenoir-Rhyne College,7.62
23,Herschel,Halpeine,hhalpeinem@wufoo.com,02-02-1995,Student,University of Asia and the Pacific,4.64
24,Gustavus,Prangle,gpranglen@blogs.com,31-08-2005,Student,Tokyo University of Art and Design,5.35
25,Heall,Myers,hmyerso@multiply.com,08-01-1989,Student,Galillee College,5.96
26,Marlee,Voas,mvoasp@cornell.edu,16-12-2000,Employee,Allahabad University,8.57
27,Joanie,Epsley,jepsleyq@disqus.com,10-01-1992,Employee,"California State University, Fresno",5.52
28,Adelaide,Trodler,atrodlerr@unesco.org,16-06-1991,Employee,University of North Carolina at Wilmington,4.06
29,Francis,Gery,fgerys@imdb.com,01-01-1988,Student,Universidad Tecnológica del Peru,8.08
30,Antoinette,Perigeaux,aperigeauxt@yelp.com,16-03-1997,Employee,Universidad Agraria del Ecuador,9.48
31,Godfree,Muriel,gmurielu@artisteer.com,26-07-1992,Student,Universidad Pontificia Comillas,5.54
32,Katey,Ethridge,kethridgev@artisteer.com,21-05-2002,Employee,Bethel College St. Paul,5.09
33,Denna,Kelwick,dkelwickw@unesco.org,21-02-1999,Employee,American University of Sharjah,8.94
34,Eolande,Earpe,eearpex@woothemes.com,17-07-1993,Employee,Northeast Normal University,7.04
35,Karleen,Beinke,kbeinkey@phpbb.com,01-06-1989,Employee,Kyungpook National University,4.23
36,Morry,Goodband,mgoodbandz@xrea.com,13-10-1990,Student,"Sarhad University of Science & Information Technology, Peshawar ",9.42
37,Buck,Chappelow,bchappelow10@biglobe.ne.jp,21-11-1990,Student,Mohammad Ali Jinnah University,8.47
38,Mirabel,Bunton,mbunton11@stanford.edu,03-01-1992,Employee,Boston University,7.44
39,Rosalinda,Dinjes,rdinjes12@ehow.com,19-04-1991,Employee,Universidad de Zaragoza,7.47
40,Shoshana,Gallelli,sgallelli13@icq.com,08-07-2000,Employee,Universidad Tecnológica de Panamá,6.76
41,Lurline,Brackenbury,lbrackenbury14@nsw.gov.au,28-02-2003,Employee,"Rochester Institute of Technology, Dubai",8.88
42,Vevay,Itzkovwitch,vitzkovwitch15@blogspot.com,22-02-1990,Employee,University of Dayton,9.17
43,Franzen,Sallans,fsallans16@vinaora.com,23-09-1991,Student,Sacred Heart University,6.84
44,Darrel,Student,dStudent17@tinypic.com,12-12-1995,Student,"Northwood University, Florida Campus",7.35
45,Hermie,Perkins,hperkins18@state.gov,05-01-2004,Student,Northern Arizona University,6.56
